Year	Zone	Date	Tow_number	Lat	Lon	Commercial_count	Commercial_weight	Commercial345_count	Commercial345__weight	Area_swept	Zone_date_tow	Depth	Temperature	grid	intended grid	Tow_quality	boat	primary_or_alternate	Station ID	minilog file	esonar file	Headline num	Tilt num	depth (fathoms)	females	males	total count
2015	Zone12	02/08/2015	2	46.80671	-62.673173	48	28.02021883	1	0.771353441	2877	Zone12-02/08/2015-2	60.3504	-0.4	AI17	AI17	1	JM	P	184	bin6385.098	GP184F	C8000GP184F.006	H0615GP184F.045	33	70	555	625
2015	Zone12	02/08/2015	3	46.797975	-62.49856	16	9.025890702	1	0.764118523	2478	Zone12-02/08/2015-3	62.1792	-0.1	AI18	AI18	1	JM	P	202	bin6385.099	GP202F	C8000GP202F.007	H0615GP202F.046	34	104	225	329
2015	Zone12	02/08/2015	4	46.868262	-62.440335	6	3.692102919	1	0.415655925	2582	Zone12-02/08/2015-4	65.8368	-0.7	AI19	AI19	1	JM	P	206	bin6385.100	GP206F	C8000GP206F.008	H0615GP206F.047	36	129	210	339
2015	Zone12	01/08/2015	2	46.82262	-62.169605	1	0.613983683	1	0.613983683	2144	Zone12-01/08/2015-2	80.4672	-0.7	AI20	AI20	1	JM	P	233	bin6385.085	GP233F	C7812GP233F.028	H0615GP233F.032	44	194	40	234
2015	Zone12	01/08/2015	1	46.84634	-62.00247	6	2.883249154	2	1.023594944	3191	Zone12-01/08/2015-1	64.008	-0.7	AI21	AI21	1	JM	P	245	bin6385.084	GP245F	C7812GP245F.027	H0615GP245F.031	35	122	131	253
2015	Zone12	02/09/2015	7	46.774418	-61.868147	6	3.296317679	5	2.708503141	3431	Zone12-02/09/2015-7	67.6656	-0.4	AI22	AI22	1	JM	P	263	bin6387.015	GP263F	C8049GP263F.140	H0661GP263F.226	37	93	30	123
2015	Zone12	09/10/2015	6	46.874713	-61.717652	7	4.437761352	4	2.631171516	2554	Zone12-09/10/2015-6	54.864	-0.2	AI23	AI23	1	JM	P	275	bin6387.156	GP275F	C8054GP275F.079	H0616GP275F.053	30	44	90	134
2015	Zone12	12/10/2015	1	46.797435	-61.506058	11	5.859167813	9	4.752387503	3169	Zone12-12/10/2015-1	64.008	0.2	AI24	AI24	1	JM	P	288	bin6387.161	GP288F	C8054GP288F.084	H0616GP288F.058	35	70	36	106
2015	Zone19	09/10/2015	8	46.815335	-61.287898	8	5.804369859	5	4.029474678	3270	Zone19-09/10/2015-8	62.1792	0.6	AI25	AI25	1	JM	P	302	bin6387.158	GP302F	C8054GP302F.081	H0616GP302F.055	34	35	39	74
2015	Zone19	09/10/2015	9	46.797652	-61.25609	6	2.993329314	4	1.912684804	3157	Zone19-09/10/2015-9	65.8368	0.6	AI26	AI26	1	JM	P	304	bin6387.159	GP304F	C8054GP304F.082	H0616GP304F.056	36	256	228	484
